gd_discipline;gd_discipline_lib;discipline;discipline_lib;sect_disciplinaire;sect_disciplinaire_lib;serie_bac;serie_bac_lib;age_au_bac;age_au_bac_lib;sexe;sexe_lib;mention_bac;mention_bac_lib;cohorte_passage;effectif_neobacheliers_passage;passage_en_l2_1_an;p_passage_en_l2_1_an;redoublement_en_l1;p_redoublement_en_l1;passage_en_l2_2_ans;p_passage_en_l2_2_ans;passage_en_l2_1_2_ans;p_passage_en_l2_1_2_ans;reorientation_en_dut_1_an;p_reorientation_en_dut_1_an;reorientation_en_dut_2_ans;p_reorientation_en_dut_2_ans;reorientation_en_dut;p_reorientation_en_dut;cohorte_reussite;effectif_neobacheliers_reussite;reussite_3_ans;p_reussite_3_ans;reussite_4_ans;p_reussite_4_ans;reussite_3_4_ans;p_reussite_3_4_ans
LLSH;Lettres, langues et sciences humaines;4;Lettres, sciences du langage, arts;Ensemble;Ensemble;4;BAC STMG;R0;A l'heure ou en avance;Ensemble;Ensemble;D;Passable premier groupe;2014;89.0;18.0;20.22;31.0;34.83;11.0;12.35;29.0;32.58;2.0;2.24;0.0;0.0;2.0;2.24;2012;108.0;12.0;11.11;6.0;5.55;18.0;16.66
SANTE;Santé;11;Médecine;7;Médecine;Ensemble;Ensemble;R0;A l'heure ou en avance;1;Homme;A;Très bien;2014;2.0;2.0;;0.0;;0.0;;2.0;;0.0;;0.0;;0.0;;2012;1.0;0.0;;1.0;;1.0;
LLSH;Lettres, langues et sciences humaines;4;Lettres, sciences du langage, arts;Ensemble;Ensemble;5;BAC technologique hors STMG;R2;En retard de plus d'un an;Ensemble;Ensemble;P;Passable deuxième groupe;2014;13.0;3.0;;5.0;;0.0;;3.0;;0.0;;0.0;;0.0;;2012;23.0;0.0;;2.0;;2.0;
SANTE;Santé;11;Médecine;7;Médecine;Ensemble;Ensemble;R0;A l'heure ou en avance;2;Femme;C;Assez bien;2014;2.0;2.0;;0.0;;0.0;;2.0;;0.0;;0.0;;0.0;;2012;3.0;2.0;;1.0;;3.0;
LLSH;Lettres, langues et sciences humaines;5;Langues;Ensemble;Ensemble;1;BAC L;R0;A l'heure ou en avance;Ensemble;Ensemble;C;Assez bien;2014;2537.0;1474.0;58.1;551.0;21.71;349.0;13.75;1823.0;71.85;35.0;1.37;10.0;0.39;45.0;1.77;2012;1855.0;891.0;48.03;307.0;16.54;1198.0;64.58
LLSH;Lettres, langues et sciences humaines;5;Langues;Ensemble;Ensemble;1;BAC L;R2;En retard de plus d'un an;Ensemble;Ensemble;A;Très bien;2014;2.0;1.0;;1.0;;1.0;;2.0;;0.0;;0.0;;0.0;;2012;;;;;;;
LLSH;Lettres, langues et sciences humaines;5;Langues;Ensemble;Ensemble;1;BAC L;R1;En retard d'un an;Ensemble;Ensemble;B;Bien;2014;109.0;73.0;66.97;21.0;19.26;13.0;11.92;86.0;78.89;1.0;0.91;0.0;0.0;1.0;0.91;2012;60.0;30.0;50.0;11.0;18.33;41.0;68.33
SI;Sciences et sciences de l'ingénieur;9;Sciences de la vie, de la terre et de l'univers;69;Pluridisciplinaire sciences de la vie, de la santé, de la terre et de l'univers;Ensemble;Ensemble;R2;En retard de plus d'un an;1;Homme;P;Passable deuxième groupe;2014;11.0;1.0;;4.0;;1.0;;2.0;;0.0;;1.0;;1.0;;2012;11.0;0.0;;2.0;;2.0;
LLSH;Lettres, langues et sciences humaines;5;Langues;Ensemble;Ensemble;1;BAC L;R2;En retard de plus d'un an;Ensemble;Ensemble;P;Passable deuxième groupe;2014;103.0;11.0;10.67;48.0;46.6;14.0;13.59;25.0;24.27;0.0;0.0;0.0;0.0;0.0;0.0;2012;177.0;14.0;7.9;13.0;7.34;27.0;15.25
LLSH;Lettres, langues et sciences humaines;5;Langues;Ensemble;Ensemble;4;BAC STMG;R1;En retard d'un an;Ensemble;Ensemble;C;Assez bien;2014;194.0;35.0;18.04;52.0;26.8;20.0;10.3;55.0;28.35;8.0;4.12;0.0;0.0;8.0;4.12;2012;162.0;18.0;11.11;22.0;13.58;40.0;24.69
LLSH;Lettres, langues et sciences humaines;5;Langues;Ensemble;Ensemble;2;BAC ES;R1;En retard d'un an;Ensemble;Ensemble;D;Passable premier groupe;2014;359.0;128.0;35.65;105.0;29.24;44.0;12.25;172.0;47.91;9.0;2.5;2.0;0.55;11.0;3.06;2012;497.0;100.0;20.12;80.0;16.09;180.0;36.21
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;1;Mathématiques;Ensemble;Ensemble;R1;En retard d'un an;1;Homme;D;Passable premier groupe;2014;87.0;16.0;18.39;34.0;39.08;13.0;14.94;29.0;33.33;7.0;8.04;1.0;1.1400000000000001;8.0;9.19;2012;66.0;6.0;9.09;11.0;16.66;17.0;25.75
LLSH;Lettres, langues et sciences humaines;5;Langues;Ensemble;Ensemble;3;BAC S;R0;A l'heure ou en avance;Ensemble;Ensemble;D;Passable premier groupe;2014;679.0;355.0;52.28;160.0;23.56;98.0;14.43;453.0;66.71;19.0;2.79;2.0;0.29;21.0;3.09;2012;539.0;188.0;34.87;88.0;16.32;276.0;51.2
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;1;Mathématiques;Ensemble;Ensemble;R1;En retard d'un an;2;Femme;A;Très bien;2014;;;;;;;;;;;;;;;;2012;1.0;1.0;;0.0;;1.0;
LLSH;Lettres, langues et sciences humaines;5;Langues;Ensemble;Ensemble;4;BAC STMG;R2;En retard de plus d'un an;Ensemble;Ensemble;Q;Inconnue;2014;7.0;0.0;;2.0;;0.0;;0.0;;0.0;;0.0;;0.0;;2012;20.0;1.0;;0.0;;1.0;
LLSH;Lettres, langues et sciences humaines;6;Sciences humaines et sociales;Ensemble;Ensemble;4;BAC STMG;R1;En retard d'un an;Ensemble;Ensemble;Q;Inconnue;2014;14.0;0.0;;6.0;;2.0;;2.0;;0.0;;0.0;;0.0;;2012;19.0;2.0;;0.0;;2.0;
LLSH;Lettres, langues et sciences humaines;5;Langues;Ensemble;Ensemble;5;BAC technologique hors STMG;R2;En retard de plus d'un an;Ensemble;Ensemble;P;Passable deuxième groupe;2014;20.0;3.0;;7.0;;0.0;;3.0;;0.0;;0.0;;0.0;;2012;45.0;1.0;2.22;1.0;2.22;2.0;4.44
SI;Sciences et sciences de l'ingénieur;15;Sciences fondamentales et applications;3;Chimie;Ensemble;Ensemble;R1;En retard d'un an;1;Homme;B;Bien;2014;2.0;1.0;;0.0;;0.0;;1.0;;0.0;;0.0;;0.0;;2012;1.0;0.0;;0.0;;0.0;
